Date,IP address,User,Activity,Item,Detail,More
10/8/2017 20:40,119.247.250.89,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:b79d060f-0fed-4956-0a92-08d50e49b238;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/8/2017 20:09,58.176.30.152,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:dad6e018-ee7e-4a18-852b-08d50e456789;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/8/2017 18:04,59.149.15.41,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:02fd2a39-0a06-4fc7-30f6-08d50e34021a;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/8/2017 17:11,221.127.41.89,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:4e75c325-70b9-47a8-f9ad-08d50e2c8fff;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4;"
10/8/2017 0:28,113.252.73.13,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:ba6f70b2-917a-4a24-21b2-08d50da061e9;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/7/2017 22:10,175.159.120.105,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:61acc6b1-20d7-4a5c-a0dd-08d50d8d1ded;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/7/2017 22:08,218.255.154.214,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:0ae8855b-1eaa-4fd3-f6a2-08d50d8ce6b0;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/7/2017 21:38,158.182.202.193,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:03dc17f7-1b9a-4bf3-4858-08d50d88bcee;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/7/2017 15:53,68.234.230.96,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:b74d950d-958a-497f-5e75-08d50d586fec;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/7/2017 8:55,61.18.83.74,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:eceb3a8e-0af3-49f4-cb98-08d50d1e18c5;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
10/6/2017 23:18,180.131.184.85,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:8dabb81f-b5ae-44cc-4d8a-08d50ccd6f8f;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/6/2017 22:47,42.98.46.31,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:229f26ec-4cfe-4755-c881-08d50cc93ab0;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8;"
10/6/2017 22:07,137.189.240.207,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:8343cfb5-ed2a-46b7-1b6e-08d50cc39b95;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38;"
10/6/2017 22:05,119.246.58.29,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:3d7997cc-9b69-41eb-9eed-08d50cc34896;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/6/2017 0:02,202.155.216.53,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:c3d01d65-baba-4e25-1034-08d50c0a8a59;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063;"
10/5/2017 22:13,218.250.152.212,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:3abd4f73-6295-4795-e717-08d50bfb41d2;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
10/4/2017 18:17,137.189.74.205,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:91196064-a8b5-4fe4-47ae-08d50b112ea6;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
10/4/2017 13:58,210.3.211.203,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""",Id:c6328b86-c443-405d-338a-08d50aecee59;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0;
10/4/2017 2:41,202.155.194.40,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:f6e7765b-9206-40eb-c751-08d50a8e670d;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
